"year","variable","experiment","ensemble","model","units","value"
1980,"rh","historical","r8i1p1f2","CNRM-CM6-1","g yr-1",47440282854149048
1980,"rh","historical","r8i1p1f2","CNRM-ESM2-1","g yr-1",39592225390248112
1980,"rh","historical","r9i1p1f1","CESM2","g yr-1",38674321549114512
1980,"rh","historical","r9i1p1f1","IPSL-CM6A-LR","g yr-1",42394253751981664
1980,"rh","historical","r9i1p1f1","MPI-ESM1-2-LR","g yr-1",61673557637904368
1980,"rh","historical","r9i1p1f1","NorCPM1","g yr-1",28945458412456096
1980,"rh","historical","r9i1p1f2","CNRM-CM6-1","g yr-1",47073779860350296
1980,"rh","historical","r9i1p1f2","CNRM-ESM2-1","g yr-1",39652793541638928
1981,"rh","historical","r10i1p1f1","CESM2","g yr-1",38626090847610888
1981,"rh","historical","r10i1p1f1","IPSL-CM6A-LR","g yr-1",42403898207566232
1981,"rh","historical","r10i1p1f1","MPI-ESM1-2-LR","g yr-1",61332715683157440
1981,"rh","historical","r10i1p1f1","NorCPM1","g yr-1",29096567615814688
1981,"rh","historical","r10i1p1f2","CNRM-CM6-1","g yr-1",48049269579761056
1981,"rh","historical","r10i1p1f2","CNRM-ESM2-1","g yr-1",41231407247222640
1981,"rh","historical","r11i1p1f1","CESM2","g yr-1",39436936274714040
1981,"rh","historical","r11i1p1f1","IPSL-CM6A-LR","g yr-1",41971266049596752
1981,"rh","historical","r11i1p1f1","NorCPM1","g yr-1",29350782734798016
1981,"rh","historical","r11i1p1f2","CNRM-CM6-1","g yr-1",46604523607634200
1981,"rh","historical","r12i1p1f1","IPSL-CM6A-LR","g yr-1",42487340887027912
1981,"rh","historical","r12i1p1f1","NorCPM1","g yr-1",29481386697055492
1981,"rh","historical","r12i1p1f2","CNRM-CM6-1","g yr-1",47854519748857720
1981,"rh","historical","r13i1p1f1","IPSL-CM6A-LR","g yr-1",42861789678952256
1981,"rh","historical","r13i1p1f1","NorCPM1","g yr-1",28851878923004256
1981,"rh","historical","r13i1p1f2","CNRM-CM6-1","g yr-1",46834994171109136
1981,"rh","historical","r14i1p1f1","IPSL-CM6A-LR","g yr-1",42557358589107192
1981,"rh","historical","r14i1p1f1","NorCPM1","g yr-1",29734230038683844
1981,"rh","historical","r14i1p1f2","CNRM-CM6-1","g yr-1",47362165980246416
1981,"rh","historical","r15i1p1f1","IPSL-CM6A-LR","g yr-1",42355863465760368
1981,"rh","historical","r15i1p1f1","NorCPM1","g yr-1",29921581709117584
1981,"rh","historical","r15i1p1f2","CNRM-CM6-1","g yr-1",47368537501140880
1981,"rh","historical","r16i1p1f1","IPSL-CM6A-LR","g yr-1",42741019171310800
1981,"rh","historical","r16i1p1f1","NorCPM1","g yr-1",29970480246640792
