"variable","model","experiment","coords","value","units"
"rh","CESM2-WACCM","historical",-70,3.25308025085336e-06,"%"
"rh","CESM2-WACCM","historical",-65,7.33280707384164e-05,"%"
"rh","CESM2-WACCM","historical",-60,0.00672345296574379,"%"
"rh","CESM2-WACCM","historical",-55,0.142420605181699,"%"
"rh","CESM2-WACCM","historical",-50,0.184486830872424,"%"
"rh","CESM2-WACCM","historical",-45,0.58559367718301,"%"
"rh","CESM2-WACCM","historical",-40,1.09555733322517,"%"
"rh","CESM2-WACCM","historical",-35,1.96192887362488,"%"
"rh","CESM2-WACCM","historical",-30,2.71116836862063,"%"
"rh","CESM2-WACCM","historical",-25,3.38805430588923,"%"
"rh","CESM2-WACCM","historical",-20,2.79075746060987,"%"
"rh","CESM2-WACCM","historical",-15,3.94939179909945,"%"
"rh","CESM2-WACCM","historical",-10,8.5199952123789,"%"
"rh","CESM2-WACCM","historical",-5,10.4529013119609,"%"
"rh","CESM2-WACCM","historical",0,8.89331099753264,"%"
"rh","CESM2-WACCM","historical",5,6.92421587381352,"%"
"rh","CESM2-WACCM","historical",10,2.9623189106615,"%"
"rh","CESM2-WACCM","historical",15,2.70958516178927,"%"
"rh","CESM2-WACCM","historical",20,3.34315309347151,"%"
"rh","CESM2-WACCM","historical",25,3.19029083106536,"%"
"rh","CESM2-WACCM","historical",30,4.60751500243781,"%"
"rh","CESM2-WACCM","historical",35,4.4809537319282,"%"
"rh","CESM2-WACCM","historical",40,4.58369989606438,"%"
"rh","CESM2-WACCM","historical",45,4.37749896806847,"%"
"rh","CESM2-WACCM","historical",50,5.53796727160694,"%"
"rh","CESM2-WACCM","historical",55,5.65181189353597,"%"
"rh","CESM2-WACCM","historical",60,3.85191186847444,"%"
"rh","CESM2-WACCM","historical",65,2.67599043719497,"%"
"rh","CESM2-WACCM","historical",70,0.418066084602874,"%"
"rh","CESM2-WACCM","historical",75,0.00215690151450594,"%"
"rh","CESM2-WACCM","historical",80,0.000497249482543718,"%"
"rh","CESM2-WACCM","historical",-90,0,"%"
"rh","CESM2-WACCM","historical",-85,0,"%"
"rh","CESM2-WACCM","historical",-80,0,"%"
"rh","CESM2-WACCM","historical",-75,0,"%"
"rh","CESM2-WACCM","historical",-70,2.21299839840906e-06,"%"
"rh","CESM2-WACCM","historical",-65,7.28452180099394e-05,"%"
"rh","CESM2-WACCM","historical",-60,0.00676506372546536,"%"
"rh","CESM2-WACCM","historical",-55,0.143890559342327,"%"
"rh","CESM2-WACCM","historical",-50,0.18242767597456,"%"
"rh","CESM2-WACCM","historical",-45,0.5750909798766,"%"
"rh","CESM2-WACCM","historical",-40,1.08628629202656,"%"
"rh","CESM2-WACCM","historical",-35,1.98045903995441,"%"
"rh","CESM2-WACCM","historical",-30,2.66848499377273,"%"
"rh","CESM2-WACCM","historical",-25,3.41439392337504,"%"
"rh","CESM2-WACCM","historical",-20,2.8149292406861,"%"
"rh","CESM2-WACCM","historical",-15,4.007370590782,"%"
"rh","CESM2-WACCM","historical",-10,8.44953896533218,"%"
"rh","CESM2-WACCM","historical",-5,10.4344302140438,"%"
"rh","CESM2-WACCM","historical",0,8.83262480264704,"%"
"rh","CESM2-WACCM","historical",5,6.80229040036076,"%"
"rh","CESM2-WACCM","historical",10,2.90328102314643,"%"
"rh","CESM2-WACCM","historical",15,2.64159908741875,"%"
"rh","CESM2-WACCM","historical",20,3.35981251103125,"%"
"rh","CESM2-WACCM","historical",25,3.1781791153758,"%"
"rh","CESM2-WACCM","historical",30,4.59961542607567,"%"
"rh","CESM2-WACCM","historical",35,4.51343203122147,"%"
"rh","CESM2-WACCM","historical",40,4.70553445811376,"%"
"rh","CESM2-WACCM","historical",45,4.46444911718437,"%"
"rh","CESM2-WACCM","historical",50,5.46673085146573,"%"
"rh","CESM2-WACCM","historical",55,5.68624898142962,"%"
"rh","CESM2-WACCM","historical",60,3.88970402387051,"%"
"rh","CESM2-WACCM","historical",65,2.77066520804846,"%"
"rh","CESM2-WACCM","historical",70,0.418558169185773,"%"
"rh","CESM2-WACCM","historical",75,0.00252829897185561,"%"
"rh","CESM2-WACCM","historical",80,0.000603897344605112,"%"
"rh","CESM2-WACCM","historical",-90,0,"%"
"rh","CESM2-WACCM","historical",-85,0,"%"
"rh","CESM2-WACCM","historical",-80,0,"%"
"rh","CESM2-WACCM","historical",-75,2.3777141301628e-08,"%"
"rh","CESM2-WACCM","historical",-70,2.20566835413232e-06,"%"
"rh","CESM2-WACCM","historical",-65,0.000100493029433735,"%"
"rh","CESM2-WACCM","historical",-60,0.00711319129969809,"%"
"rh","CESM2-WACCM","historical",-55,0.147946724277561,"%"
"rh","CESM2-WACCM","historical",-50,0.185303211260048,"%"
"rh","CESM2-WACCM","historical",-45,0.592603551095328,"%"
"rh","CESM2-WACCM","historical",-40,1.10409156183116,"%"
"rh","CESM2-WACCM","historical",-35,1.93698631138221,"%"
"rh","CESM2-WACCM","historical",-30,2.65911816693815,"%"
"rh","CESM2-WACCM","historical",-25,3.42427843809988,"%"
"rh","CESM2-WACCM","historical",-20,2.80987169964159,"%"
"rh","CESM2-WACCM","historical",-15,3.91310170593471,"%"
"rh","CESM2-WACCM","historical",-10,8.49864811576004,"%"
"rh","CESM2-WACCM","historical",-5,10.4698051018675,"%"
"rh","CESM2-WACCM","historical",0,8.75454064949399,"%"
"rh","CESM2-WACCM","historical",5,6.7521057997878,"%"
"rh","CESM2-WACCM","historical",10,2.88045183032137,"%"
"rh","CESM2-WACCM","historical",15,2.69228107124226,"%"
